Algoritmo,Distribuicao,Tamanho,TempoMedio_Segundos
QuickSort,Aleatorio,10,0.000000
HeapSort,Aleatorio,10,0.000000
RadixSort,Aleatorio,10,0.000002
QuickSort,Crescente,10,0.000000
HeapSort,Crescente,10,0.000000
RadixSort,Crescente,10,0.000001
QuickSort,Decrescente,10,0.000000
HeapSort,Decrescente,10,0.000000
RadixSort,Decrescente,10,0.000001
QuickSort,Aleatorio,25,0.000000
HeapSort,Aleatorio,25,0.000001
RadixSort,Aleatorio,25,0.000004
QuickSort,Crescente,25,0.000001
HeapSort,Crescente,25,0.000001
RadixSort,Crescente,25,0.000001
QuickSort,Decrescente,25,0.000001
HeapSort,Decrescente,25,0.000001
RadixSort,Decrescente,25,0.000001
QuickSort,Aleatorio,50,0.000001
HeapSort,Aleatorio,50,0.000001
RadixSort,Aleatorio,50,0.000006
QuickSort,Crescente,50,0.000002
HeapSort,Crescente,50,0.000001
RadixSort,Crescente,50,0.000002
QuickSort,Decrescente,50,0.000002
HeapSort,Decrescente,50,0.000001
RadixSort,Decrescente,50,0.000002
QuickSort,Aleatorio,75,0.000001
HeapSort,Aleatorio,75,0.000002
RadixSort,Aleatorio,75,0.000008
QuickSort,Crescente,75,0.000003
HeapSort,Crescente,75,0.000002
RadixSort,Crescente,75,0.000003
QuickSort,Decrescente,75,0.000004
HeapSort,Decrescente,75,0.000002
RadixSort,Decrescente,75,0.000003
QuickSort,Aleatorio,100,0.000002
HeapSort,Aleatorio,100,0.000003
RadixSort,Aleatorio,100,0.000010
QuickSort,Crescente,100,0.000006
HeapSort,Crescente,100,0.000003
RadixSort,Crescente,100,0.000005
QuickSort,Decrescente,100,0.000007
HeapSort,Decrescente,100,0.000003
RadixSort,Decrescente,100,0.000005
QuickSort,Aleatorio,250,0.000006
HeapSort,Aleatorio,250,0.000010
RadixSort,Aleatorio,250,0.000020
QuickSort,Crescente,250,0.000032
HeapSort,Crescente,250,0.000010
RadixSort,Crescente,250,0.000011
QuickSort,Decrescente,250,0.000036
HeapSort,Decrescente,250,0.000009
RadixSort,Decrescente,250,0.000011
QuickSort,Aleatorio,500,0.000015
HeapSort,Aleatorio,500,0.000030
RadixSort,Aleatorio,500,0.000041
QuickSort,Crescente,500,0.000122
HeapSort,Crescente,500,0.000026
